?cls	?xref
<http://purl.obolibrary.org/obo/CHEBI_28938>	"PMID:19716251"
<http://purl.obolibrary.org/obo/CHEBI_28938>	"PMID:14879753"
<http://purl.obolibrary.org/obo/CHEBI_28938>	"Reaxys:16093784"
<http://purl.obolibrary.org/obo/CHEBI_28938>	"PMID:22265469"
<http://purl.obolibrary.org/obo/CHEBI_28938>	"PMID:14512268"
<http://purl.obolibrary.org/obo/CHEBI_28938>	"PMID:19682559"
<http://purl.obolibrary.org/obo/CHEBI_33303>	"PMID:17084588"
<http://purl.obolibrary.org/obo/CHEBI_46883>	"PDBeChem:FMT"
<http://purl.obolibrary.org/obo/CHEBI_15339>	"KEGG:C16722"
<http://purl.obolibrary.org/obo/CHEBI_15339>	"KEGG:C00028"
<http://purl.obolibrary.org/obo/CHEBI_32988>	"KEGG:C00241"
<http://purl.obolibrary.org/obo/CHEBI_30216>	"Gmelin:53474"
<http://purl.obolibrary.org/obo/CHEBI_30217>	"Gmelin:16294"
<http://purl.obolibrary.org/obo/CHEBI_30217>	"CAS:7440-59-7"
<http://purl.obolibrary.org/obo/CHEBI_30217>	"Drug_Central:4262"
<http://purl.obolibrary.org/obo/CHEBI_30217>	"WebElements:He"
<http://purl.obolibrary.org/obo/CHEBI_50910>	"Wikipedia:Neurotoxin"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:11746427"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"CAS:7664-41-7"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"HMDB:HMDB0000051"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:16842901"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"MolBase:930"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:22342082"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:17025297"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"Gmelin:79"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:15969015"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:16008360"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:15554424"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:16050680"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"KNApSAcK:C00007267"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:22385337"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"KEGG:D02916"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:15092448"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:110589"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:17737668"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:22002069"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:16664306"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:15094021"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:14663195"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:22290316"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"MetaCyc:AMMONIA"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:22240068"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:17439666"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:18670398"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"Drug_Central:4625"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PDBeChem:NH3"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:16614889"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:22081570"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:22100291"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"Reaxys:3587154"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:13753780"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:11139349"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:16349403"
