?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0000033>	"AAO:0010335"
<http://purl.obolibrary.org/obo/UBERON_0000033>	"TAO:0001114"
<http://purl.obolibrary.org/obo/UBERON_0000033>	"CALOHA:TS-0436"
<http://purl.obolibrary.org/obo/UBERON_0004461>	"FMA:71287"
<http://purl.obolibrary.org/obo/UBERON_0004461>	"EMAPA:18171"
<http://purl.obolibrary.org/obo/UBERON_0001209>	"MA:0001546"
<http://purl.obolibrary.org/obo/UBERON_0001209>	<http://linkedlifedata.com/resource/umls/id/C1517727>
<http://purl.obolibrary.org/obo/UBERON_0001209>	"NCIT:C32929"
<http://purl.obolibrary.org/obo/UBERON_0001209>	"FMA:14975"
<http://purl.obolibrary.org/obo/UBERON_0001209>	"EMAPA:37557"
<http://purl.obolibrary.org/obo/UBERON_0001209>	"UMLS:C1517727"
<http://purl.obolibrary.org/obo/NCBITaxon_7900>	"GC_ID:1"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"EFO:0000975"
<http://purl.obolibrary.org/obo/UBERON_0000995>	<http://linkedlifedata.com/resource/umls/id/C0042149>
<http://purl.obolibrary.org/obo/UBERON_0000995>	"UMLS:C0042149"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"BTO:0001424"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"MA:0000389"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"MAT:0000127"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"MIAA:0000127"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"MESH:D014599"
<http://purl.obolibrary.org/obo/UBERON_0000995>	<http://en.wikipedia.org/wiki/Uterus>
<http://purl.obolibrary.org/obo/UBERON_0000995>	<http://www.snomedbrowser.com/Codes/Details/181452004>
<http://purl.obolibrary.org/obo/UBERON_0000995>	"GAID:172"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"VHOG:0001137"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"EV:0100113"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"galen:Uterus"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"FMA:17558"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"NCIT:C12405"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"EMAPA:29915"
<http://purl.obolibrary.org/obo/UBERON_0000995>	"CALOHA:TS-1102"
<http://purl.obolibrary.org/obo/UBERON_0001892>	"MAT:0000272"
<http://purl.obolibrary.org/obo/UBERON_0001892>	"EMAPA:16148"
<http://purl.obolibrary.org/obo/UBERON_0001892>	"TAO:0001064"
<http://purl.obolibrary.org/obo/UBERON_0001892>	"RETIRED_EHDAA2:0000669"
<http://purl.obolibrary.org/obo/UBERON_0001892>	"XAO:0004079"
<http://purl.obolibrary.org/obo/UBERON_0001892>	"MIAA:0000272"
<http://purl.obolibrary.org/obo/UBERON_0001892>	"VHOG:0000672"
<http://purl.obolibrary.org/obo/UBERON_0001892>	"FMA:295666"
<http://purl.obolibrary.org/obo/UBERON_0001892>	<http://en.wikipedia.org/wiki/Rhombomere>
<http://purl.obolibrary.org/obo/UBERON_0001892>	"ZFA:0001064"
<http://purl.obolibrary.org/obo/UBERON_0001892>	"DHBA:12664"
<http://purl.obolibrary.org/obo/UBERON_0001892>	"EFO:0003617"
<http://purl.obolibrary.org/obo/UBERON_0001081>	"MA:0000079"
<http://purl.obolibrary.org/obo/UBERON_0001081>	"EMAPA:32747"
<http://purl.obolibrary.org/obo/UBERON_0001081>	"ZFA:0001615"
<http://purl.obolibrary.org/obo/UBERON_0001081>	"FMA:12148"
<http://purl.obolibrary.org/obo/UBERON_0001081>	<http://www.snomedbrowser.com/Codes/Details/192172004>
<http://purl.obolibrary.org/obo/UBERON_0001081>	"VHOG:0000607"
<http://purl.obolibrary.org/obo/UBERON_0001081>	"TAO:0002247"
<http://purl.obolibrary.org/obo/UBERON_0005487>	"UMLS:C0231091"
<http://purl.obolibrary.org/obo/UBERON_0005487>	<http://www.snomedbrowser.com/Codes/Details/308832003>
<http://purl.obolibrary.org/obo/UBERON_0005487>	"RETIRED_EHDAA2:0002209"
<http://purl.obolibrary.org/obo/UBERON_0005487>	<http://linkedlifedata.com/resource/umls/id/C0231091>
<http://purl.obolibrary.org/obo/UBERON_0005487>	"XAO:0000376"
<http://purl.obolibrary.org/obo/UBERON_0005487>	"XAO:0004147"
<http://purl.obolibrary.org/obo/UBERON_0005487>	"VHOG:0000401"
<http://purl.obolibrary.org/obo/UBERON_0005487>	"NCIT:C34329"
<http://purl.obolibrary.org/obo/UBERON_0005487>	"EMAPA:36021"
<http://purl.obolibrary.org/obo/UBERON_0005487>	<http://www.snomedbrowser.com/Codes/Details/2730004>
<http://purl.obolibrary.org/obo/UBERON_0005487>	"FMA:70305"
<http://purl.obolibrary.org/obo/UBERON_0005487>	<http://en.wikipedia.org/wiki/Vitelline_veins>
<http://purl.obolibrary.org/obo/CL_1001610>	"CALOHA:TS-2109"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"MA:0001080"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"VHOG:0000694"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"ZFA:0000295"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"AAO:0011107"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"EFO:0000903"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"BAMS:5Gn"
<http://purl.obolibrary.org/obo/UBERON_0001675>	<http://linkedlifedata.com/resource/umls/id/C0040995>
<http://purl.obolibrary.org/obo/UBERON_0001675>	<http://en.wikipedia.org/wiki/Trigeminal_ganglion>
<http://purl.obolibrary.org/obo/UBERON_0001675>	"FMA:52618"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"MESH:D012668"
<http://purl.obolibrary.org/obo/UBERON_0001675>	<http://www.snomedbrowser.com/Codes/Details/244449009>
<http://purl.obolibrary.org/obo/UBERON_0001675>	"BAMS:GV"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"XAO:0000427"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"BTO:0001231"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"EHDAA:2113"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"EMAPA:16797"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"NCIT:C62642"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"GAID:725"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"neuronames:1402"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"TAO:0000295"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"EHDAA2:0002085"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"UMLS:C0040995"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"XAO:0000428"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"MAT:0000511"
<http://purl.obolibrary.org/obo/UBERON_0005000>	"FMA:14688"
<http://purl.obolibrary.org/obo/GO_0008202>	"Wikipedia:Steroid_metabolism"
<http://purl.obolibrary.org/obo/NCBITaxon_8507>	"GC_ID:1"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"FMA:63182"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"MESH:D001160"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"MA:0000063"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"ZFA:0005255"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"VHOG:0001763"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"TAO:0002138"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"UMLS:C0003847"
<http://purl.obolibrary.org/obo/UBERON_0001980>	<http://www.snomedbrowser.com/Codes/Details/337724002>
<http://purl.obolibrary.org/obo/UBERON_0001980>	"NCIT:C12672"
<http://purl.obolibrary.org/obo/UBERON_0001980>	<http://linkedlifedata.com/resource/umls/id/C0003847>
<http://purl.obolibrary.org/obo/UBERON_0001980>	"EMAPA:35146"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"BTO:0001997"
<http://purl.obolibrary.org/obo/UBERON_0001980>	<http://en.wikipedia.org/wiki/Arteriole>
<http://purl.obolibrary.org/obo/UBERON_0001980>	"AAO:0010253"
<http://purl.obolibrary.org/obo/CL_1000443>	"FMA:70610"
<http://purl.obolibrary.org/obo/CHEBI_33837>	"COMe:PRX000001"
<http://purl.obolibrary.org/obo/UBERON_0001366>	<http://www.snomedbrowser.com/Codes/Details/362700006>
<http://purl.obolibrary.org/obo/UBERON_0001366>	<http://en.wikipedia.org/wiki/Parietal_peritoneum>
<http://purl.obolibrary.org/obo/UBERON_0001366>	"EMAPA:16591"
<http://purl.obolibrary.org/obo/UBERON_0001366>	"TAO:0005131"
<http://purl.obolibrary.org/obo/UBERON_0001366>	"ZFA:0005131"
<http://purl.obolibrary.org/obo/UBERON_0001366>	"VHOG:0001527"
<http://purl.obolibrary.org/obo/UBERON_0001366>	"AAO:0010816"
<http://purl.obolibrary.org/obo/UBERON_0001366>	"FMA:21451"
<http://purl.obolibrary.org/obo/UBERON_0007247>	"FMA:72246"
<http://purl.obolibrary.org/obo/UBERON_0007247>	<http://www.snomedbrowser.com/Codes/Details/369024009>
<http://purl.obolibrary.org/obo/UBERON_0010347>	"EHDAA2:0004078"
<http://purl.obolibrary.org/obo/GO_0005794>	"NIF_Subcellular:sao451912436"
<http://purl.obolibrary.org/obo/GO_0005794>	"Wikipedia:Golgi_apparatus"
<http://purl.obolibrary.org/obo/UBERON_0002294>	<http://www.snomedbrowser.com/Codes/Details/361354009>
<http://purl.obolibrary.org/obo/UBERON_0002294>	<http://en.wikipedia.org/wiki/Biliary_system>
<http://purl.obolibrary.org/obo/UBERON_0002294>	"GAID:279"
<http://purl.obolibrary.org/obo/UBERON_0002294>	"NCIT:C12678"
<http://purl.obolibrary.org/obo/UBERON_0002294>	"FMA:79646"
<http://purl.obolibrary.org/obo/UBERON_0002294>	"MESH:D001659"
<http://purl.obolibrary.org/obo/UBERON_0002294>	"MA:0001273"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"TAO:0001308"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"XAO:0003013"
<http://purl.obolibrary.org/obo/UBERON_0000475>	<http://en.wikipedia.org/wiki/Body_part>
<http://purl.obolibrary.org/obo/UBERON_0000475>	"AAO:0010053"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"BILA:0000032"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"MIAA:0000293"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"CARO:0000032"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"MA:0002433"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"MESH:D001829"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"UMLS:C0229962"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"galen:BodyPart"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"TGMA:0001840"
<http://purl.obolibrary.org/obo/UBERON_0000475>	<http://linkedlifedata.com/resource/umls/id/C0229962>
<http://purl.obolibrary.org/obo/UBERON_0000475>	"FMA:7153"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"AEO:0000032"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"CALOHA:TS-2084"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"HAO:0000032"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"VHOG:0001758"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"FBbt:00007009"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"ZFA:0001308"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"EMAPA:36031"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"NCIT:C32221"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"MAT:0000293"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"EFO:0000808"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"EHDAA2:0003032"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"BIRNLEX:7"
<http://purl.obolibrary.org/obo/UBERON_0034729>	"EMAPA:37958"
<http://purl.obolibrary.org/obo/UBERON_0034729>	<http://www.snomedbrowser.com/Codes/Details/181098007>
<http://purl.obolibrary.org/obo/UBERON_0011777>	"FMA:77011"
<http://purl.obolibrary.org/obo/UBERON_0003617>	"MA:0001861"
<http://purl.obolibrary.org/obo/UBERON_0004365>	"EMAPA:36494"
<http://purl.obolibrary.org/obo/UBERON_0005049>	"FMA:18357"
<http://purl.obolibrary.org/obo/UBERON_0003832>	<http://www.snomedbrowser.com/Codes/Details/360961009>
<http://purl.obolibrary.org/obo/UBERON_0003832>	"MA:0002682"
<http://purl.obolibrary.org/obo/UBERON_0003832>	"EMAPA:26983"
<http://purl.obolibrary.org/obo/UBERON_0003023>	"FMA:71108"
<http://purl.obolibrary.org/obo/UBERON_0003023>	<http://en.wikipedia.org/wiki/Pontine_tegmentum>
<http://purl.obolibrary.org/obo/UBERON_0003023>	"BAMS:PTg"
<http://purl.obolibrary.org/obo/UBERON_0003023>	"DHBA:12416"
<http://purl.obolibrary.org/obo/UBERON_0003023>	"neuronames:557"
<http://purl.obolibrary.org/obo/UBERON_0003023>	<http://linkedlifedata.com/resource/umls/id/C0228426>
<http://purl.obolibrary.org/obo/UBERON_0003023>	"BIRNLEX:923"
<http://purl.obolibrary.org/obo/UBERON_0003023>	<http://www.snomedbrowser.com/Codes/Details/362401009>
<http://purl.obolibrary.org/obo/UBERON_0003023>	"HBA:9135"
<http://purl.obolibrary.org/obo/UBERON_0003023>	"MESH:D065821"
<http://purl.obolibrary.org/obo/UBERON_0003023>	"UMLS:C0228426"
<http://purl.obolibrary.org/obo/UBERON_0009713>	"EHDAA2:0002182"
<http://purl.obolibrary.org/obo/UBERON_0009713>	"EMAPA:17338"
<http://purl.obolibrary.org/obo/UBERON_0009713>	"FMA:9559"
<http://purl.obolibrary.org/obo/UBERON_0009713>	<http://www.snomedbrowser.com/Codes/Details/191004004>
<http://purl.obolibrary.org/obo/UBERON_0009713>	"VHOG:0001233"
<http://purl.obolibrary.org/obo/UBERON_0006929>	"NCIT:C13182"
<http://purl.obolibrary.org/obo/UBERON_0006929>	"UMLS:C0225337"
<http://purl.obolibrary.org/obo/UBERON_0006929>	"FMA:64800"
<http://purl.obolibrary.org/obo/UBERON_0006929>	<http://linkedlifedata.com/resource/umls/id/C0225337>
<http://purl.obolibrary.org/obo/UBERON_0007100>	<http://www.sciencemag.org/content/313/5795/1922/F1.large.jpg>
<http://purl.obolibrary.org/obo/UBERON_0007100>	"TADS:0000147"
<http://purl.obolibrary.org/obo/UBERON_0007100>	"SPD:0000130"
<http://purl.obolibrary.org/obo/UBERON_0001919>	"VHOG:0001216"
<http://purl.obolibrary.org/obo/UBERON_0001919>	"UMLS:C1179027"
<http://purl.obolibrary.org/obo/UBERON_0001919>	"AAO:0011110"
<http://purl.obolibrary.org/obo/UBERON_0001919>	<http://linkedlifedata.com/resource/umls/id/C1179027>
<http://purl.obolibrary.org/obo/UBERON_0001919>	"EMAPA:36288"
<http://purl.obolibrary.org/obo/UBERON_0001919>	"NCIT:C49317"
<http://purl.obolibrary.org/obo/UBERON_0001919>	"BTO:0004756"
<http://purl.obolibrary.org/obo/UBERON_0001919>	"XAO:0000358"
<http://purl.obolibrary.org/obo/UBERON_0001919>	"MA:0000712"
<http://purl.obolibrary.org/obo/UBERON_0001919>	"FMA:62118"
<http://purl.obolibrary.org/obo/UBERON_0004148>	"UMLS:C0226654"
<http://purl.obolibrary.org/obo/UBERON_0004148>	"NCIT:C12882"
<http://purl.obolibrary.org/obo/UBERON_0004148>	<http://en.wikipedia.org/wiki/Coronary_circulation>
<http://purl.obolibrary.org/obo/UBERON_0004148>	<http://linkedlifedata.com/resource/umls/id/C0226654>
<http://purl.obolibrary.org/obo/UBERON_0004148>	"EHDAA2:0004507"
<http://purl.obolibrary.org/obo/UBERON_0004148>	"EMAPA:37137"
<http://purl.obolibrary.org/obo/UBERON_0004148>	<http://linkedlifedata.com/resource/umls/id/C0226737>
<http://purl.obolibrary.org/obo/UBERON_0004148>	"UMLS:C0226737"
<http://purl.obolibrary.org/obo/UBERON_0004148>	"ZFA:0005814"
<http://purl.obolibrary.org/obo/UBERON_0004148>	<http://www.snomedbrowser.com/Codes/Details/277726009>
<http://purl.obolibrary.org/obo/UBERON_0004148>	"NCIT:C12878"
<http://purl.obolibrary.org/obo/UBERON_0004148>	"FMA:12846"
<http://purl.obolibrary.org/obo/UBERON_0004148>	"galen:CoronaryVein"
<http://purl.obolibrary.org/obo/UBERON_0005730>	"TAO:0001454"
<http://purl.obolibrary.org/obo/UBERON_0005730>	"ZFA:0001454"
<http://purl.obolibrary.org/obo/UBERON_0003568>	"MA:0000585"
<http://purl.obolibrary.org/obo/UBERON_0003568>	"EMAPA:37250"
<http://purl.obolibrary.org/obo/UBERON_0003335>	<http://www.snomedbrowser.com/Codes/Details/90132000>
<http://purl.obolibrary.org/obo/UBERON_0003335>	"FMA:14990"
<http://purl.obolibrary.org/obo/UBERON_0003335>	"MA:0003199"
<http://purl.obolibrary.org/obo/UBERON_0003335>	"EMAPA:27387"
<http://purl.obolibrary.org/obo/UBERON_0011820>	"EHDAA2:0004149"
<http://purl.obolibrary.org/obo/UBERON_0011820>	"FMA:85125"
<http://purl.obolibrary.org/obo/CL_0002159>	"FMA:70556"
<http://purl.obolibrary.org/obo/UBERON_0005989>	<http://www.snomedbrowser.com/Codes/Details/280151006>
<http://purl.obolibrary.org/obo/UBERON_0005989>	<http://en.wikipedia.org/wiki/Atrioventricular_septum>
<http://purl.obolibrary.org/obo/UBERON_0005989>	"FMA:7136"
<http://purl.obolibrary.org/obo/UBERON_0005989>	"EMAPA:37431"
<http://purl.obolibrary.org/obo/UBERON_0003580>	"MA:0002409"
<http://purl.obolibrary.org/obo/UBERON_0003580>	"EMAPA:37548"
<http://purl.obolibrary.org/obo/UBERON_0002350>	"EMAPA:35428"
<http://purl.obolibrary.org/obo/UBERON_0002350>	"EFO:0003909"
<http://purl.obolibrary.org/obo/UBERON_0002350>	"MA:0000094"
<http://purl.obolibrary.org/obo/UBERON_0002350>	"FMA:9476"
<http://purl.obolibrary.org/obo/UBERON_0002350>	"EV:0100025"
<http://purl.obolibrary.org/obo/UBERON_0002350>	"EHDAA2:0004185"
<http://purl.obolibrary.org/obo/UBERON_0002350>	<http://www.snomedbrowser.com/Codes/Details/281489000>
<http://purl.obolibrary.org/obo/UBERON_0002350>	"VHOG:0001271"
<http://purl.obolibrary.org/obo/UBERON_0002350>	"TAO:0005063"
<http://purl.obolibrary.org/obo/UBERON_0002350>	"ZFA:0005063"
<http://purl.obolibrary.org/obo/UBERON_0002350>	"MESH:D006329"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"MAT:0000200"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"TAO:0000013"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"EFO:0000902"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"VHOG:0000076"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"MA:0000213"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"MIAA:0000200"
<http://purl.obolibrary.org/obo/UBERON_0001714>	<http://www.snomedbrowser.com/Codes/Details/244448001>
<http://purl.obolibrary.org/obo/UBERON_0001714>	"EMAPA:16659"
<http://purl.obolibrary.org/obo/UBERON_0001714>	<http://en.wikipedia.org/wiki/Cranial_nerve_ganglion>
<http://purl.obolibrary.org/obo/UBERON_0001714>	"BIRNLEX:2597"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"BTO:0000106"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"ZFA:0000013"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"MA:0000214"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"XAO:0000027"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"FMA:54502"
<http://purl.obolibrary.org/obo/UBERON_0003920>	"FMA:86188"
<http://purl.obolibrary.org/obo/UBERON_0003920>	"EMAPA:35932"
<http://purl.obolibrary.org/obo/UBERON_0003920>	"MA:0000066"
<http://purl.obolibrary.org/obo/UBERON_0008231>	<http://www.snomedbrowser.com/Codes/Details/362666008>
<http://purl.obolibrary.org/obo/UBERON_0008231>	"EMAPA:37234"
<http://purl.obolibrary.org/obo/UBERON_0008231>	"MA:0000028"
<http://purl.obolibrary.org/obo/UBERON_0008231>	"FMA:24217"
<http://purl.obolibrary.org/obo/UBERON_0009566>	"FMA:15696"
<http://purl.obolibrary.org/obo/UBERON_0005178>	"MA:0000557"
<http://purl.obolibrary.org/obo/UBERON_0005178>	"EMAPA:37273"
<http://purl.obolibrary.org/obo/CL_1000286>	"FMA:17522"
<http://purl.obolibrary.org/obo/UBERON_0001415>	"MA:0000546"
<http://purl.obolibrary.org/obo/UBERON_0001415>	"EMAPA:37282"
<http://purl.obolibrary.org/obo/UBERON_0001415>	<http://www.snomedbrowser.com/Codes/Details/181517009>
<http://purl.obolibrary.org/obo/UBERON_0001415>	"FMA:22984"
<http://purl.obolibrary.org/obo/UBERON_0000111>	"BilaDO:0000010"
<http://purl.obolibrary.org/obo/UBERON_0000111>	"OGES:000032"
<http://purl.obolibrary.org/obo/UBERON_0000111>	"BILS:0000111"
<http://purl.obolibrary.org/obo/UBERON_0000111>	"OGES:000005"
<http://purl.obolibrary.org/obo/UBERON_0000111>	"MmusDv:0000018"
<http://purl.obolibrary.org/obo/UBERON_0000111>	<http://en.wikipedia.org/wiki/Organogenesis>
<http://purl.obolibrary.org/obo/UBERON_0000111>	"HsapDv:0000015"
<http://purl.obolibrary.org/obo/UBERON_0007499>	"AEO:0000115"
<http://purl.obolibrary.org/obo/UBERON_0007499>	"EHDAA2:0003115"
<http://purl.obolibrary.org/obo/UBERON_0000064>	"EFO:0000635"
<http://purl.obolibrary.org/obo/UBERON_0000064>	<http://www.snomedbrowser.com/Codes/Details/91717005>
<http://purl.obolibrary.org/obo/UBERON_0000064>	"AAO:0011124"
<http://purl.obolibrary.org/obo/UBERON_0000064>	"BIRNLEX:16"
<http://purl.obolibrary.org/obo/UBERON_0000064>	<http://www.snomedbrowser.com/Codes/Details/113343008>
<http://purl.obolibrary.org/obo/UBERON_0000064>	"FMA:82472"
<http://purl.obolibrary.org/obo/UBERON_0004998>	"EMAPA:27199"
<http://purl.obolibrary.org/obo/UBERON_0004998>	"FMA:17461"
<http://purl.obolibrary.org/obo/UBERON_0004998>	"BTO:0004110"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"CALOHA:TS-1172"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"FMA:62971"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"BTO:0000121"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"ZFA:0005857"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"MA:0002513"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"MESH:D001646"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"UMLS:C0005388"
<http://purl.obolibrary.org/obo/UBERON_0001970>	<http://en.wikipedia.org/wiki/Bile>
<http://purl.obolibrary.org/obo/UBERON_0001970>	"NCIT:C13192"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"GAID:1157"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"ENVO:02000023"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"galen:Bile"
<http://purl.obolibrary.org/obo/UBERON_0001970>	<http://linkedlifedata.com/resource/umls/id/C0005388>
<http://purl.obolibrary.org/obo/UBERON_0005460>	"EHDAA2:0000971"
<http://purl.obolibrary.org/obo/UBERON_0005460>	"EMAPA:16380"
<http://purl.obolibrary.org/obo/UBERON_0005460>	<http://www.snomedbrowser.com/Codes/Details/361446008>
<http://purl.obolibrary.org/obo/UBERON_0005460>	"EMAPA:16698"
<http://purl.obolibrary.org/obo/UBERON_0005460>	"FMA:70307"
<http://purl.obolibrary.org/obo/UBERON_0003697>	<http://www.snomedbrowser.com/Codes/Details/181613000>
<http://purl.obolibrary.org/obo/UBERON_0003697>	"GAID:26"
<http://purl.obolibrary.org/obo/UBERON_0003697>	<http://linkedlifedata.com/resource/umls/id/C0836916>
<http://purl.obolibrary.org/obo/UBERON_0003697>	"FMA:10429"
<http://purl.obolibrary.org/obo/UBERON_0003697>	<http://en.wikipedia.org/wiki/Abdominal_wall>
<http://purl.obolibrary.org/obo/UBERON_0003697>	"MESH:D034861"
<http://purl.obolibrary.org/obo/UBERON_0003697>	"UMLS:C0836916"
<http://purl.obolibrary.org/obo/UBERON_0003697>	"FMA:259054"
<http://purl.obolibrary.org/obo/UBERON_0003697>	"EMAPA:37064"
<http://purl.obolibrary.org/obo/UBERON_0003697>	"NCIT:C77608"
<http://purl.obolibrary.org/obo/NCBITaxon_6040>	"GC_ID:1"
<http://purl.obolibrary.org/obo/UBERON_0005795>	"FMA:72173"
<http://purl.obolibrary.org/obo/UBERON_0005795>	<http://www.snomedbrowser.com/Codes/Details/255782009>
<http://purl.obolibrary.org/obo/UBERON_0010339>	"EHDAA2:0000036"
<http://purl.obolibrary.org/obo/UBERON_0035552>	<http://linkedlifedata.com/resource/umls/id/C0226514>
<http://purl.obolibrary.org/obo/UBERON_0035552>	<http://en.wikipedia.org/wiki/Deep_vein>
<http://purl.obolibrary.org/obo/UBERON_0035552>	<http://www.snomedbrowser.com/Codes/Details/341484008>
<http://purl.obolibrary.org/obo/UBERON_0035552>	"NCIT:C32444"
<http://purl.obolibrary.org/obo/UBERON_0035552>	"FMA:76718"
<http://purl.obolibrary.org/obo/UBERON_0003393>	"MA:0003233"
<http://purl.obolibrary.org/obo/UBERON_0003393>	"EMAPA:17367"
<http://purl.obolibrary.org/obo/UBERON_0007812>	"AAO:0010338"
<http://purl.obolibrary.org/obo/UBERON_0007812>	"ZFA:0001117"
<http://purl.obolibrary.org/obo/UBERON_0007812>	"UMLS:C0039259"
<http://purl.obolibrary.org/obo/UBERON_0007812>	"MA:0000008"
<http://purl.obolibrary.org/obo/UBERON_0007812>	"EMAPA:16748"
<http://purl.obolibrary.org/obo/UBERON_0007812>	"NCIT:C77663"
<http://purl.obolibrary.org/obo/UBERON_0007812>	"XAO:0003026"
<http://purl.obolibrary.org/obo/UBERON_0007812>	<http://linkedlifedata.com/resource/umls/id/C0039259>
<http://purl.obolibrary.org/obo/UBERON_0007812>	"TAO:0001117"
<http://purl.obolibrary.org/obo/UBERON_0004236>	"MA:0000706"
<http://purl.obolibrary.org/obo/UBERON_0004236>	"FMA:312251"
<http://purl.obolibrary.org/obo/UBERON_0004236>	"EMAPA:36287"
<http://purl.obolibrary.org/obo/CHEBI_33569>	"Beilstein:2210994"
<http://purl.obolibrary.org/obo/CHEBI_33569>	"Gmelin:863925"
<http://purl.obolibrary.org/obo/CHEBI_33569>	"LINCS:LSM-5181"
<http://purl.obolibrary.org/obo/CHEBI_33569>	"CAS:138-65-8"
<http://purl.obolibrary.org/obo/UBERON_0011222>	"EMAPA:18808"
<http://purl.obolibrary.org/obo/UBERON_0011222>	"FMA:49150"
<http://purl.obolibrary.org/obo/UBERON_0011222>	"AAO:0010038"
<http://purl.obolibrary.org/obo/UBERON_0004907>	"FMA:49179"
<http://purl.obolibrary.org/obo/UBERON_0004907>	<http://en.wikipedia.org/wiki/Alimentary_canal#Upper_gastrointestinal_tract>
<http://purl.obolibrary.org/obo/UBERON_0004907>	"galen:LowerGastrointestinalTract"
<http://purl.obolibrary.org/obo/UBERON_0004907>	"UMLS:C0226875"
<http://purl.obolibrary.org/obo/UBERON_0004907>	<http://linkedlifedata.com/resource/umls/id/C0226875>
