?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHEBI_29067>	<http://www.w3.org/2000/01/rdf-schema#label>	"carboxylic acid anion"	
<http://purl.obolibrary.org/obo/CHEBI_33260>	<http://www.w3.org/2000/01/rdf-schema#label>	"elemental hydrogen"	
<http://purl.obolibrary.org/obo/CHEBI_36962>	<http://www.w3.org/2000/01/rdf-schema#label>	"organochalcogen compound"	
<http://purl.obolibrary.org/obo/CHEBI_33659>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic aromatic compound"	
<http://purl.obolibrary.org/obo/CHEBI_75767>	<http://www.w3.org/2000/01/rdf-schema#label>	"animal metabolite"	
<http://purl.obolibrary.org/obo/CHEBI_35238>	<http://www.w3.org/2000/01/rdf-schema#label>	"amino-acid zwitterion"	
<http://purl.obolibrary.org/obo/CHEBI_35238>	<http://www.w3.org/2000/01/rdf-schema#label>	"amino acid zwitterion"	
<http://purl.obolibrary.org/obo/CHEBI_33579>	<http://www.w3.org/2000/01/rdf-schema#label>	"main group molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_33238>	<http://www.w3.org/2000/01/rdf-schema#label>	"monoatomic entity"	
<http://purl.obolibrary.org/obo/CHEBI_15378>	<http://www.w3.org/2000/01/rdf-schema#label>	"hydron"	
<http://purl.obolibrary.org/obo/CHEBI_33249>	<http://www.w3.org/2000/01/rdf-schema#label>	"organyl group"	
<http://purl.obolibrary.org/obo/CHEBI_13941>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbamate"	
<http://purl.obolibrary.org/obo/CHEBI_33709>	<http://www.w3.org/2000/01/rdf-schema#label>	"amino acid"	
<http://purl.obolibrary.org/obo/CHEBI_78608>	<http://www.w3.org/2000/01/rdf-schema#label>	"alpha-amino-acid zwitterion"	
<http://purl.obolibrary.org/obo/CHEBI_78608>	<http://www.w3.org/2000/01/rdf-schema#label>	"alpha-amino acid zwitterion"	
<http://purl.obolibrary.org/obo/CHEBI_16541>	<http://www.w3.org/2000/01/rdf-schema#label>	"protein polypeptide chain"	
<http://purl.obolibrary.org/obo/CHEBI_49637>	<http://www.w3.org/2000/01/rdf-schema#label>	"hydrogen atom"	
