?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/UO_0000044>	<http://www.w3.org/2000/01/rdf-schema#label>	"attomole"	
<http://purl.obolibrary.org/obo/UO_1000314>	<http://www.w3.org/2000/01/rdf-schema#label>	"relative fluorescence unit based unit"	
<http://purl.obolibrary.org/obo/UO_1010014>	<http://www.w3.org/2000/01/rdf-schema#label>	"yard based unit"	
<http://purl.obolibrary.org/obo/UO_0000078>	<http://www.w3.org/2000/01/rdf-schema#label>	"radian per second per second"	
<http://purl.obolibrary.org/obo/UO_0000080>	<http://www.w3.org/2000/01/rdf-schema#label>	"square meter"	
<http://purl.obolibrary.org/obo/UO_0010016>	<http://www.w3.org/2000/01/rdf-schema#label>	"furlong"	
<http://purl.obolibrary.org/obo/UO_0000015>	<http://www.w3.org/2000/01/rdf-schema#label>	"centimeter"	
<http://purl.obolibrary.org/obo/UO_0000246>	<http://www.w3.org/2000/01/rdf-schema#label>	"mebibyte"	
<http://purl.obolibrary.org/obo/UO_0000282>	<http://www.w3.org/2000/01/rdf-schema#label>	"count per molar second"	
<http://purl.obolibrary.org/obo/UO_0000051>	<http://www.w3.org/2000/01/rdf-schema#label>	"concentration unit"	
<http://purl.obolibrary.org/obo/OBI_0000450>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulatory agency"@en	
<http://purl.obolibrary.org/obo/OBI_0002306>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathologic distant metastases stage for kidney according to AJCC 7th edition"	
<http://purl.obolibrary.org/obo/UO_0000110>	<http://www.w3.org/2000/01/rdf-schema#label>	"pascal"	
<http://purl.obolibrary.org/obo/UO_0000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"length unit"	
<http://purl.obolibrary.org/obo/OBI_0400065>	<http://www.w3.org/2000/01/rdf-schema#label>	"light source"	
<http://purl.obolibrary.org/obo/UO_1010030>	<http://www.w3.org/2000/01/rdf-schema#label>	"gallon based unit"	
<http://purl.obolibrary.org/obo/UO_0000094>	<http://www.w3.org/2000/01/rdf-schema#label>	"meter per second"	
<http://purl.obolibrary.org/obo/UO_1010038>	<http://www.w3.org/2000/01/rdf-schema#label>	"ton based unit"	
<http://purl.obolibrary.org/obo/UO_0000153>	<http://www.w3.org/2000/01/rdf-schema#label>	"foot candle"	
<http://purl.obolibrary.org/obo/UO_0000302>	<http://www.w3.org/2000/01/rdf-schema#label>	"pico"	
<http://purl.obolibrary.org/obo/UO_1000135>	<http://www.w3.org/2000/01/rdf-schema#label>	"rad based unit"	
<http://purl.obolibrary.org/obo/UO_0000019>	<http://www.w3.org/2000/01/rdf-schema#label>	"angstrom"	
<http://purl.obolibrary.org/obo/UO_0000296>	<http://www.w3.org/2000/01/rdf-schema#label>	"deci"	
<http://purl.obolibrary.org/obo/OBCS_0000233>	<http://www.w3.org/2000/01/rdf-schema#label>	"transformed data item"@en	
<http://purl.obolibrary.org/obo/OBI_0000835>	<http://www.w3.org/2000/01/rdf-schema#label>	"manufacturer"	
<http://purl.obolibrary.org/obo/UO_0010010>	<http://www.w3.org/2000/01/rdf-schema#label>	"hectare"	
<http://purl.obolibrary.org/obo/OBI_0002215>	<http://www.w3.org/2000/01/rdf-schema#label>	"histologic grade for ovarian tumor"	
<http://purl.obolibrary.org/obo/UO_0000086>	<http://www.w3.org/2000/01/rdf-schema#label>	"kilogram per square meter"	
<http://purl.obolibrary.org/obo/UO_0000233>	<http://www.w3.org/2000/01/rdf-schema#label>	"byte"	
<http://purl.obolibrary.org/obo/UO_1000284>	<http://www.w3.org/2000/01/rdf-schema#label>	"count per nanomolar based unit"	
<http://purl.obolibrary.org/obo/UO_1000201>	<http://www.w3.org/2000/01/rdf-schema#label>	"cells per milliliter based unit"	
<http://purl.obolibrary.org/obo/UO_0010026>	<http://www.w3.org/2000/01/rdf-schema#label>	"fluid ounce"	
<http://purl.obolibrary.org/obo/UO_1000244>	<http://www.w3.org/2000/01/rdf-schema#label>	"base pair based unit"	
<http://purl.obolibrary.org/obo/OBI_0002310>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathologic distant metastases stage for ovary according to AJCC 7th edition"	
<http://purl.obolibrary.org/obo/UO_0000006>	<http://www.w3.org/2000/01/rdf-schema#label>	"substance unit"	
<http://purl.obolibrary.org/obo/UO_0000237>	<http://www.w3.org/2000/01/rdf-schema#label>	"chroma sampling unit"	
<http://purl.obolibrary.org/obo/OBI_0000374>	<http://www.w3.org/2000/01/rdf-schema#label>	"excitation function"@en	
<http://purl.obolibrary.org/obo/OBI_0000700>	<http://www.w3.org/2000/01/rdf-schema#label>	"support vector machine"	
<http://purl.obolibrary.org/obo/IAO_0000184>	<http://www.w3.org/2000/01/rdf-schema#label>	"scatter plot"@en	
<http://purl.obolibrary.org/obo/OBIB_0000667>	<http://www.w3.org/2000/01/rdf-schema#label>	"survey data"@en	
<http://purl.obolibrary.org/obo/UO_0000200>	<http://www.w3.org/2000/01/rdf-schema#label>	"cell concentration unit"	
<http://purl.obolibrary.org/obo/OBIB_0000726>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal specimen"@en	
<http://purl.obolibrary.org/obo/OBI_0000014>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulator role"@en	
<http://purl.obolibrary.org/obo/OBI_0000245>	<http://www.w3.org/2000/01/rdf-schema#label>	"organization"@en	
<http://purl.obolibrary.org/obo/OBI_0000245>	<http://www.w3.org/2000/01/rdf-schema#label>	"organization"	
<http://purl.obolibrary.org/obo/UO_0000208>	<http://www.w3.org/2000/01/rdf-schema#label>	"gram per deciliter"	
<http://purl.obolibrary.org/obo/UO_0000137>	<http://www.w3.org/2000/01/rdf-schema#label>	"sievert"	
<http://purl.obolibrary.org/obo/PCO_0001000>	<http://www.w3.org/2000/01/rdf-schema#label>	"pair of interacting organisms"@en	
<http://purl.obolibrary.org/obo/UO_0000121>	<http://www.w3.org/2000/01/rdf-schema#label>	"angle unit"	
<http://purl.obolibrary.org/obo/UO_1000265>	<http://www.w3.org/2000/01/rdf-schema#label>	"watt per meter kelvin based unit"	
<http://purl.obolibrary.org/obo/UO_0000157>	<http://www.w3.org/2000/01/rdf-schema#label>	"light unit"	
<http://purl.obolibrary.org/obo/UO_1000110>	<http://www.w3.org/2000/01/rdf-schema#label>	"pascal based unit"	
<http://purl.obolibrary.org/obo/UO_0000186>	<http://www.w3.org/2000/01/rdf-schema#label>	"dimensionless unit"	
<http://purl.obolibrary.org/obo/UO_1000170>	<http://www.w3.org/2000/01/rdf-schema#label>	"parts per billion based unit"	
<http://purl.obolibrary.org/obo/UO_0000253>	<http://www.w3.org/2000/01/rdf-schema#label>	"surface tension unit"	
<http://purl.obolibrary.org/obo/UO_0000190>	<http://www.w3.org/2000/01/rdf-schema#label>	"ratio unit"	
<http://purl.obolibrary.org/obo/UO_1010010>	<http://www.w3.org/2000/01/rdf-schema#label>	"hectare based unit"	
<http://purl.obolibrary.org/obo/UO_1010051>	<http://www.w3.org/2000/01/rdf-schema#label>	"large calorie based unit"	
<http://purl.obolibrary.org/obo/UO_1000085>	<http://www.w3.org/2000/01/rdf-schema#label>	"candela per square meter based unit"	
<http://purl.obolibrary.org/obo/UO_1000237>	<http://www.w3.org/2000/01/rdf-schema#label>	"chroma sampling unit based unit"	
<http://purl.obolibrary.org/obo/UO_0000047>	<http://www.w3.org/2000/01/rdf-schema#label>	"area unit"	
<http://purl.obolibrary.org/obo/UO_1000084>	<http://www.w3.org/2000/01/rdf-schema#label>	"gram per cubic centimeter based unit"	
<http://purl.obolibrary.org/obo/UO_1000193>	<http://www.w3.org/2000/01/rdf-schema#label>	"purity percentage based unit"	
<http://purl.obolibrary.org/obo/UO_1000094>	<http://www.w3.org/2000/01/rdf-schema#label>	"meter per second based unit"	
<http://purl.obolibrary.org/obo/UO_0000263>	<http://www.w3.org/2000/01/rdf-schema#label>	"heat conduction unit"	
<http://purl.obolibrary.org/obo/UO_0000189>	<http://www.w3.org/2000/01/rdf-schema#label>	"count unit"	
<http://purl.obolibrary.org/obo/UO_1000226>	<http://www.w3.org/2000/01/rdf-schema#label>	"weber based unit"	
<http://purl.obolibrary.org/obo/UO_1000257>	<http://www.w3.org/2000/01/rdf-schema#label>	"pascal second based unit"	
<http://purl.obolibrary.org/obo/UO_1000185>	<http://www.w3.org/2000/01/rdf-schema#label>	"degree based unit"	
<http://purl.obolibrary.org/obo/UO_0000159>	<http://www.w3.org/2000/01/rdf-schema#label>	"radiant intensity unit"	
<http://purl.obolibrary.org/obo/UO_0000217>	<http://www.w3.org/2000/01/rdf-schema#label>	"electric potential difference unit"	
<http://purl.obolibrary.org/obo/UO_0000161>	<http://www.w3.org/2000/01/rdf-schema#label>	"radiance unit"	
<http://purl.obolibrary.org/obo/UO_1010025>	<http://www.w3.org/2000/01/rdf-schema#label>	"acre based unit"	
<http://purl.obolibrary.org/obo/UO_1000167>	<http://www.w3.org/2000/01/rdf-schema#label>	"parts per hundred based unit"	
<http://purl.obolibrary.org/obo/UO_0000124>	<http://www.w3.org/2000/01/rdf-schema#label>	"solid angle unit"	
<http://purl.obolibrary.org/obo/UO_1000232>	<http://www.w3.org/2000/01/rdf-schema#label>	"bit based unit"	
<http://purl.obolibrary.org/obo/UO_0000182>	<http://www.w3.org/2000/01/rdf-schema#label>	"density unit"	
<http://purl.obolibrary.org/obo/UO_1000246>	<http://www.w3.org/2000/01/rdf-schema#label>	"mebibyte based unit"	
<http://purl.obolibrary.org/obo/UO_0000225>	<http://www.w3.org/2000/01/rdf-schema#label>	"magnetic flux unit"	
<http://purl.obolibrary.org/obo/UO_0000256>	<http://www.w3.org/2000/01/rdf-schema#label>	"viscosity unit"	
<http://purl.obolibrary.org/obo/UO_0000107>	<http://www.w3.org/2000/01/rdf-schema#label>	"force unit"	
<http://purl.obolibrary.org/obo/UO_1000171>	<http://www.w3.org/2000/01/rdf-schema#label>	"parts per trillion based unit"	
<http://purl.obolibrary.org/obo/UO_1000120>	<http://www.w3.org/2000/01/rdf-schema#label>	"katal based unit"	
<http://purl.obolibrary.org/obo/UO_1000240>	<http://www.w3.org/2000/01/rdf-schema#label>	"dots per inch based unit"	
<http://purl.obolibrary.org/obo/UO_1000079>	<http://www.w3.org/2000/01/rdf-schema#label>	"radian per second based unit"	
<http://purl.obolibrary.org/obo/UO_1000211>	<http://www.w3.org/2000/01/rdf-schema#label>	"plaque forming unit based unit"	
<http://purl.obolibrary.org/obo/UO_0000239>	<http://www.w3.org/2000/01/rdf-schema#label>	"spatial resolution unit"	
<http://purl.obolibrary.org/obo/UO_0000049>	<http://www.w3.org/2000/01/rdf-schema#label>	"angular velocity unit"	
<http://purl.obolibrary.org/obo/UO_1010023>	<http://www.w3.org/2000/01/rdf-schema#label>	"perch based unit"	
<http://purl.obolibrary.org/obo/UO_1000188>	<http://www.w3.org/2000/01/rdf-schema#label>	"pi based unit"	
<http://purl.obolibrary.org/obo/UO_1000081>	<http://www.w3.org/2000/01/rdf-schema#label>	"square centimeter based unit"	
<http://purl.obolibrary.org/obo/UO_0000113>	<http://www.w3.org/2000/01/rdf-schema#label>	"power unit"	
<http://purl.obolibrary.org/obo/UO_0000166>	<http://www.w3.org/2000/01/rdf-schema#label>	"parts per notation unit"	
<http://purl.obolibrary.org/obo/UO_0000115>	<http://www.w3.org/2000/01/rdf-schema#label>	"illuminance unit"	
<http://purl.obolibrary.org/obo/UO_1000254>	<http://www.w3.org/2000/01/rdf-schema#label>	"newton per meter based unit"	
<http://purl.obolibrary.org/obo/UO_1000228>	<http://www.w3.org/2000/01/rdf-schema#label>	"tesla based unit"	
<http://purl.obolibrary.org/obo/UO_1000080>	<http://www.w3.org/2000/01/rdf-schema#label>	"square meter based unit"	
<http://purl.obolibrary.org/obo/UO_1000169>	<http://www.w3.org/2000/01/rdf-schema#label>	"parts per million based unit"	
<http://purl.obolibrary.org/obo/UO_0000057>	<http://www.w3.org/2000/01/rdf-schema#label>	"momentum unit"	
<http://purl.obolibrary.org/obo/UO_1000243>	<http://www.w3.org/2000/01/rdf-schema#label>	"pixels per millimeter based unit"	
<http://purl.obolibrary.org/obo/UO_1010001>	<http://www.w3.org/2000/01/rdf-schema#label>	"square micrometer based unit"	
<http://purl.obolibrary.org/obo/UO_0000236>	<http://www.w3.org/2000/01/rdf-schema#label>	"image resolution unit"	
<http://purl.obolibrary.org/obo/UO_1000242>	<http://www.w3.org/2000/01/rdf-schema#label>	"pixels per inch based unit"	
<http://purl.obolibrary.org/obo/UO_1000158>	<http://www.w3.org/2000/01/rdf-schema#label>	"watt per steradian per square meter based unit"	
<http://purl.obolibrary.org/obo/UO_1000269>	<http://www.w3.org/2000/01/rdf-schema#label>	"absorbance unit based unit"	
<http://purl.obolibrary.org/obo/UO_1000123>	<http://www.w3.org/2000/01/rdf-schema#label>	"radian based unit"	
<http://purl.obolibrary.org/obo/UO_0000045>	<http://www.w3.org/2000/01/rdf-schema#label>	"base unit"	
<http://purl.obolibrary.org/obo/UO_0000054>	<http://www.w3.org/2000/01/rdf-schema#label>	"area density unit"	
<http://purl.obolibrary.org/obo/UO_0000187>	<http://www.w3.org/2000/01/rdf-schema#label>	"percent"	
<http://purl.obolibrary.org/obo/UO_0000227>	<http://www.w3.org/2000/01/rdf-schema#label>	"magnetic flux density unit"	
<http://purl.obolibrary.org/obo/UO_1000112>	<http://www.w3.org/2000/01/rdf-schema#label>	"joule based unit"	
<http://purl.obolibrary.org/obo/UO_0000060>	<http://www.w3.org/2000/01/rdf-schema#label>	"speed/velocity unit"	
<http://purl.obolibrary.org/obo/UO_1000192>	<http://www.w3.org/2000/01/rdf-schema#label>	"molecule count based unit"	
<http://purl.obolibrary.org/obo/UO_1000245>	<http://www.w3.org/2000/01/rdf-schema#label>	"kibibyte based unit"	
<http://purl.obolibrary.org/obo/UO_1000238>	<http://www.w3.org/2000/01/rdf-schema#label>	"dynamic range unit based unit"	
<http://purl.obolibrary.org/obo/UO_1000312>	<http://www.w3.org/2000/01/rdf-schema#label>	"relative light unit based unit"	
<http://purl.obolibrary.org/obo/UO_0000122>	<http://www.w3.org/2000/01/rdf-schema#label>	"plane angle unit"	
<http://purl.obolibrary.org/obo/UO_1000155>	<http://www.w3.org/2000/01/rdf-schema#label>	"watt per square meter based unit"	
<http://purl.obolibrary.org/obo/UO_0000117>	<http://www.w3.org/2000/01/rdf-schema#label>	"luminous flux unit"	
<http://purl.obolibrary.org/obo/UO_1000078>	<http://www.w3.org/2000/01/rdf-schema#label>	"radian per second per second based unit"	
<http://purl.obolibrary.org/obo/UO_1000210>	<http://www.w3.org/2000/01/rdf-schema#label>	"colony forming unit based unit"	
<http://purl.obolibrary.org/obo/UO_0000048>	<http://www.w3.org/2000/01/rdf-schema#label>	"acceleration unit"	
<http://purl.obolibrary.org/obo/UO_1000181>	<http://www.w3.org/2000/01/rdf-schema#label>	"enzyme unit based unit"	
<http://purl.obolibrary.org/obo/UO_0000191>	<http://www.w3.org/2000/01/rdf-schema#label>	"fraction"	
<http://purl.obolibrary.org/obo/UO_1000077>	<http://www.w3.org/2000/01/rdf-schema#label>	"meter per second per second based unit"	
<http://purl.obolibrary.org/obo/UO_1000125>	<http://www.w3.org/2000/01/rdf-schema#label>	"steradian based unit"	
<http://purl.obolibrary.org/obo/UO_0000111>	<http://www.w3.org/2000/01/rdf-schema#label>	"energy unit"	
<http://purl.obolibrary.org/obo/UO_1000108>	<http://www.w3.org/2000/01/rdf-schema#label>	"newton based unit"	
<http://purl.obolibrary.org/obo/UO_1000168>	<http://www.w3.org/2000/01/rdf-schema#label>	"parts per thousand based unit"	
<http://purl.obolibrary.org/obo/UO_0000007>	<http://www.w3.org/2000/01/rdf-schema#label>	"luminous intensity unit"	
<http://purl.obolibrary.org/obo/UO_0000154>	<http://www.w3.org/2000/01/rdf-schema#label>	"irradiance unit"	
<http://purl.obolibrary.org/obo/UO_0000050>	<http://www.w3.org/2000/01/rdf-schema#label>	"angular acceleration unit"	
<http://purl.obolibrary.org/obo/UO_0000183>	<http://www.w3.org/2000/01/rdf-schema#label>	"linear density unit"	
<http://purl.obolibrary.org/obo/UO_1000114>	<http://www.w3.org/2000/01/rdf-schema#label>	"watt based unit"	
<http://purl.obolibrary.org/obo/UO_1000194>	<http://www.w3.org/2000/01/rdf-schema#label>	"confluence percentage based unit"	
<http://purl.obolibrary.org/obo/UO_0000262>	<http://www.w3.org/2000/01/rdf-schema#label>	"electrical conduction unit"	
<http://purl.obolibrary.org/obo/UO_1000116>	<http://www.w3.org/2000/01/rdf-schema#label>	"lux based unit"	
<http://purl.obolibrary.org/obo/UO_0010069>	<http://www.w3.org/2000/01/rdf-schema#label>	"bar"	
<http://purl.obolibrary.org/obo/UO_1000268>	<http://www.w3.org/2000/01/rdf-schema#label>	"volt per meter based unit"	
<http://purl.obolibrary.org/obo/UO_0000119>	<http://www.w3.org/2000/01/rdf-schema#label>	"catalytic activity unit"	
<http://purl.obolibrary.org/obo/UO_1000258>	<http://www.w3.org/2000/01/rdf-schema#label>	"poise based unit"	
<http://purl.obolibrary.org/obo/UO_0000261>	<http://www.w3.org/2000/01/rdf-schema#label>	"conduction unit"	
<http://purl.obolibrary.org/obo/UO_1010024>	<http://www.w3.org/2000/01/rdf-schema#label>	"rood based unit"	
<http://purl.obolibrary.org/obo/UO_0000109>	<http://www.w3.org/2000/01/rdf-schema#label>	"pressure unit"	
<http://purl.obolibrary.org/obo/UO_1000014>	<http://www.w3.org/2000/01/rdf-schema#label>	"candela based unit"	
<http://purl.obolibrary.org/obo/UO_0000053>	<http://www.w3.org/2000/01/rdf-schema#label>	"luminance unit"	
<http://purl.obolibrary.org/obo/UO_0000231>	<http://www.w3.org/2000/01/rdf-schema#label>	"information unit"	
<http://purl.obolibrary.org/obo/UO_1000172>	<http://www.w3.org/2000/01/rdf-schema#label>	"parts per quadrillion based unit"	
<http://purl.obolibrary.org/obo/UO_0000267>	<http://www.w3.org/2000/01/rdf-schema#label>	"electric field strength unit"	
<http://purl.obolibrary.org/obo/UO_1000153>	<http://www.w3.org/2000/01/rdf-schema#label>	"foot candle based unit"	
<http://purl.obolibrary.org/obo/UO_1000162>	<http://www.w3.org/2000/01/rdf-schema#label>	"watt per steradian based unit"	
<http://purl.obolibrary.org/obo/UO_1000082>	<http://www.w3.org/2000/01/rdf-schema#label>	"square millimeter based unit"	
<http://purl.obolibrary.org/obo/UO_0000052>	<http://www.w3.org/2000/01/rdf-schema#label>	"mass density unit"	
<http://purl.obolibrary.org/obo/UO_0000004>	<http://www.w3.org/2000/01/rdf-schema#label>	"electric current unit"	
<http://purl.obolibrary.org/obo/UO_1010039>	<http://www.w3.org/2000/01/rdf-schema#label>	"slug based unit"	
<http://purl.obolibrary.org/obo/UO_1000255>	<http://www.w3.org/2000/01/rdf-schema#label>	"dyne per cm based unit"	
<http://purl.obolibrary.org/obo/UO_1000118>	<http://www.w3.org/2000/01/rdf-schema#label>	"lumen based unit"	
<http://purl.obolibrary.org/obo/CHEBI_52459>	<http://www.w3.org/2000/01/rdf-schema#label>	"rubidium-87 atom"	
<http://purl.obolibrary.org/obo/CHEBI_37361>	<http://www.w3.org/2000/01/rdf-schema#label>	"polonium-201 atom"	
<http://purl.obolibrary.org/obo/CHEBI_50076>	<http://www.w3.org/2000/01/rdf-schema#label>	"chromium-51"	
<http://purl.obolibrary.org/obo/CHEBI_27573>	<http://www.w3.org/2000/01/rdf-schema#label>	"silicon atom"	
<http://purl.obolibrary.org/obo/CHEBI_27568>	<http://www.w3.org/2000/01/rdf-schema#label>	"selenium atom"	
<http://purl.obolibrary.org/obo/CHEBI_176571>	<http://www.w3.org/2000/01/rdf-schema#label>	"strontium-88 atom"	
<http://purl.obolibrary.org/obo/CHEBI_52623>	<http://www.w3.org/2000/01/rdf-schema#label>	"iron-57 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33324>	<http://www.w3.org/2000/01/rdf-schema#label>	"strontium atom"	
<http://purl.obolibrary.org/obo/CHEBI_33365>	<http://www.w3.org/2000/01/rdf-schema#label>	"platinum group metal atom"	
<http://purl.obolibrary.org/obo/CHEBI_33491>	<http://www.w3.org/2000/01/rdf-schema#label>	"radon-220 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33337>	<http://www.w3.org/2000/01/rdf-schema#label>	"actinium atom"	
<http://purl.obolibrary.org/obo/CHEBI_37341>	<http://www.w3.org/2000/01/rdf-schema#label>	"polonium-211 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33395>	<http://www.w3.org/2000/01/rdf-schema#label>	"mendelevium atom"	
<http://purl.obolibrary.org/obo/CHEBI_33347>	<http://www.w3.org/2000/01/rdf-schema#label>	"vanadium group element atom"	
<http://purl.obolibrary.org/obo/CHEBI_37353>	<http://www.w3.org/2000/01/rdf-schema#label>	"polonium-193 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33815>	<http://www.w3.org/2000/01/rdf-schema#label>	"oxygen-18 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33358>	<http://www.w3.org/2000/01/rdf-schema#label>	"cobalt group element atom"	
<http://purl.obolibrary.org/obo/CHEBI_36937>	<http://www.w3.org/2000/01/rdf-schema#label>	"nitrogen-17 atom"	
<http://purl.obolibrary.org/obo/CHEBI_30501>	<http://www.w3.org/2000/01/rdf-schema#label>	"beryllium atom"	
<http://purl.obolibrary.org/obo/CHEBI_33390>	<http://www.w3.org/2000/01/rdf-schema#label>	"curium atom"	
<http://purl.obolibrary.org/obo/CHEBI_52462>	<http://www.w3.org/2000/01/rdf-schema#label>	"tungsten-183"	
<http://purl.obolibrary.org/obo/CHEBI_29237>	<http://www.w3.org/2000/01/rdf-schema#label>	"deuterium atom"	
<http://purl.obolibrary.org/obo/CHEBI_37003>	<http://www.w3.org/2000/01/rdf-schema#label>	"helium-6 atom"	
<http://purl.obolibrary.org/obo/CHEBI_37362>	<http://www.w3.org/2000/01/rdf-schema#label>	"polonium-202 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33342>	<http://www.w3.org/2000/01/rdf-schema#label>	"zirconium atom"	
<http://purl.obolibrary.org/obo/CHEBI_49648>	<http://www.w3.org/2000/01/rdf-schema#label>	"holmium atom"	
<http://purl.obolibrary.org/obo/CHEBI_33310>	<http://www.w3.org/2000/01/rdf-schema#label>	"neon atom"	
<http://purl.obolibrary.org/obo/CHEBI_27363>	<http://www.w3.org/2000/01/rdf-schema#label>	"zinc atom"	
<http://purl.obolibrary.org/obo/CHEBI_33323>	<http://www.w3.org/2000/01/rdf-schema#label>	"francium atom"	
<http://purl.obolibrary.org/obo/CHEBI_33366>	<http://www.w3.org/2000/01/rdf-schema#label>	"copper group element atom"	
<http://purl.obolibrary.org/obo/CHEBI_52634>	<http://www.w3.org/2000/01/rdf-schema#label>	"sodium-23 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33376>	<http://www.w3.org/2000/01/rdf-schema#label>	"terbium atom"	
<http://purl.obolibrary.org/obo/CHEBI_18291>	<http://www.w3.org/2000/01/rdf-schema#label>	"manganese atom"	
<http://purl.obolibrary.org/obo/CHEBI_25107>	<http://www.w3.org/2000/01/rdf-schema#label>	"magnesium atom"	
<http://purl.obolibrary.org/obo/CHEBI_27563>	<http://www.w3.org/2000/01/rdf-schema#label>	"arsenic atom"	
<http://purl.obolibrary.org/obo/CHEBI_33361>	<http://www.w3.org/2000/01/rdf-schema#label>	"meitnerium atom"	
<http://purl.obolibrary.org/obo/CHEBI_33517>	<http://www.w3.org/2000/01/rdf-schema#label>	"copernicium atom"	
<http://purl.obolibrary.org/obo/CHEBI_33348>	<http://www.w3.org/2000/01/rdf-schema#label>	"tantalum atom"	
<http://purl.obolibrary.org/obo/CHEBI_33389>	<http://www.w3.org/2000/01/rdf-schema#label>	"americium atom"	
<http://purl.obolibrary.org/obo/CHEBI_49666>	<http://www.w3.org/2000/01/rdf-schema#label>	"iridium atom"	
<http://purl.obolibrary.org/obo/CHEBI_37352>	<http://www.w3.org/2000/01/rdf-schema#label>	"polonium-192 atom"	
<http://purl.obolibrary.org/obo/CHEBI_37347>	<http://www.w3.org/2000/01/rdf-schema#label>	"polonium-217 atom"	
<http://purl.obolibrary.org/obo/CHEBI_36938>	<http://www.w3.org/2000/01/rdf-schema#label>	"nitrogen-14 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33386>	<http://www.w3.org/2000/01/rdf-schema#label>	"protactinium atom"	
<http://purl.obolibrary.org/obo/CHEBI_194539>	<http://www.w3.org/2000/01/rdf-schema#label>	"tennessine atom"	
<http://purl.obolibrary.org/obo/CHEBI_36933>	<http://www.w3.org/2000/01/rdf-schema#label>	"oxygen-19 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33341>	<http://www.w3.org/2000/01/rdf-schema#label>	"titanium atom"	
<http://purl.obolibrary.org/obo/CHEBI_30430>	<http://www.w3.org/2000/01/rdf-schema#label>	"indium atom"	
<http://purl.obolibrary.org/obo/CHEBI_37984>	<http://www.w3.org/2000/01/rdf-schema#label>	"sulfur-37 atom"	
<http://purl.obolibrary.org/obo/CHEBI_37368>	<http://www.w3.org/2000/01/rdf-schema#label>	"polonium-208 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33353>	<http://www.w3.org/2000/01/rdf-schema#label>	"technetium atom"	
<http://purl.obolibrary.org/obo/CHEBI_52743>	<http://www.w3.org/2000/01/rdf-schema#label>	"bromine-79 atom"	
<http://purl.obolibrary.org/obo/CHEBI_37969>	<http://www.w3.org/2000/01/rdf-schema#label>	"aluminium-26 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33319>	<http://www.w3.org/2000/01/rdf-schema#label>	"lanthanoid atom"	
<http://purl.obolibrary.org/obo/CHEBI_52635>	<http://www.w3.org/2000/01/rdf-schema#label>	"scandium-45 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33377>	<http://www.w3.org/2000/01/rdf-schema#label>	"dysprosium atom"	
<http://purl.obolibrary.org/obo/CHEBI_49631>	<http://www.w3.org/2000/01/rdf-schema#label>	"gallium atom"	
<http://purl.obolibrary.org/obo/CHEBI_33362>	<http://www.w3.org/2000/01/rdf-schema#label>	"nickel group element atom"	
<http://purl.obolibrary.org/obo/CHEBI_33372>	<http://www.w3.org/2000/01/rdf-schema#label>	"neodymium atom"	
<http://purl.obolibrary.org/obo/CHEBI_37348>	<http://www.w3.org/2000/01/rdf-schema#label>	"polonium-218 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33493>	<http://www.w3.org/2000/01/rdf-schema#label>	"radon-219 atom"	
<http://purl.obolibrary.org/obo/CHEBI_37974>	<http://www.w3.org/2000/01/rdf-schema#label>	"silicon-29 atom"	
<http://purl.obolibrary.org/obo/CHEBI_32999>	<http://www.w3.org/2000/01/rdf-schema#label>	"europium atom"	
<http://purl.obolibrary.org/obo/CHEBI_33385>	<http://www.w3.org/2000/01/rdf-schema#label>	"thorium"	
<http://purl.obolibrary.org/obo/CHEBI_37343>	<http://www.w3.org/2000/01/rdf-schema#label>	"polonium-213 atom"	
<http://purl.obolibrary.org/obo/CHEBI_33397>	<http://www.w3.org/2000/01/rdf-schema#label>	"lawrencium atom"	
<http://purl.obolibrary.org/obo/CHEBI_36934>	<http://www.w3.org/2000/01/rdf-schema#label>	"nitrogen-15 atom"	
<http://purl.obolibrary.org/obo/CHEBI_37983>	<http://www.w3.org/2000/01/rdf-schema#label>	"sulfur-35 atom"	
<http://purl.obolibrary.org/obo/CHEBI_37367>	<http://www.w3.org/2000/01/rdf-schema#label>	"polonium-207 atom"	
<http://purl.obolibrary.org/obo/CHEBI_24061>	<http://www.w3.org/2000/01/rdf-schema#label>	"fluorine atom"	
<http://purl.obolibrary.org/obo/CHEBI_194535>	<http://www.w3.org/2000/01/rdf-schema#label>	"moscovium atom"	
