?prefix	?numberOfClasses
"ENVO"	5
"OBI"	4
"CHMO"	1
"IAO"	3
"NCIT"	6
"BFO"	3
"GO"	1
"UO"	1
"CHEBI"	2
"PATO"	2
""	1
